model,arch_seed,env_seed,robustness,selector_focus_conflict,degradation_conflict
perspective,0,0,0.5636473991064965,0.25,-0.02568074557744837
perspective,0,1,0.5636473991064965,0.25,-0.02568074557744837
perspective,0,2,0.5636473991064965,0.25,-0.02568074557744837
perspective,0,3,0.5636473991064965,0.25,-0.02568074557744837
perspective,1,0,0.453703222333135,0.25,0.006528501388573138
perspective,1,1,0.453703222333135,0.25,0.006528501388573138
perspective,1,2,0.453703222333135,0.25,0.006528501388573138
perspective,1,3,0.453703222333135,0.25,0.006528501388573138
perspective,2,0,0.5742973705850059,0.25,0.0165497299885784
perspective,2,1,0.5742973705850059,0.25,0.0165497299885784
perspective,2,2,0.5742973705850059,0.25,0.0165497299885784
perspective,2,3,0.5742973705850059,0.25,0.0165497299885784
perspective,3,0,0.4865480269701275,0.25,-0.008067846615733398
perspective,3,1,0.4865480269701275,0.25,-0.008067846615733398
perspective,3,2,0.4865480269701275,0.25,-0.008067846615733398
perspective,3,3,0.4865480269701275,0.25,-0.008067846615733398
perspective_plastic,0,0,0.5637632981758941,0.25,-0.025745754806972942
perspective_plastic,0,1,0.5637632981758941,0.25,-0.025745754806972942
perspective_plastic,0,2,0.5637632981758941,0.25,-0.025745754806972942
perspective_plastic,0,3,0.5637632981758941,0.25,-0.025745754806972942
perspective_plastic,1,0,0.45367242252075357,0.25,0.006549185969569105
perspective_plastic,1,1,0.45367242252075357,0.25,0.006549185969569105
perspective_plastic,1,2,0.45367242252075357,0.25,0.006549185969569105
perspective_plastic,1,3,0.45367242252075357,0.25,0.006549185969569105
perspective_plastic,2,0,0.5743923439532717,0.25,0.016541822461658806
perspective_plastic,2,1,0.5743923439532717,0.25,0.016541822461658806
perspective_plastic,2,2,0.5743923439532717,0.25,0.016541822461658806
perspective_plastic,2,3,0.5743923439532717,0.25,0.016541822461658806
perspective_plastic,3,0,0.4866160400835239,0.25,-0.00806772812966633
perspective_plastic,3,1,0.4866160400835239,0.25,-0.00806772812966633
perspective_plastic,3,2,0.4866160400835239,0.25,-0.00806772812966633
perspective_plastic,3,3,0.4866160400835239,0.25,-0.00806772812966633
gw_lite,0,0,0.5303025837538566,0.37286202279849556,-0.0024490576120564933
gw_lite,0,1,0.5303025837538566,0.37286202279849556,-0.0024490576120564933
gw_lite,0,2,0.5303025837538566,0.37286202279849556,-0.0024490576120564933
gw_lite,0,3,0.5303025837538566,0.37286202279849556,-0.0024490576120564933
gw_lite,1,0,0.4619857838803537,0.3420122807955368,0.015941444746284783
gw_lite,1,1,0.4619857838803537,0.3420122807955368,0.015941444746284783
